group,year,measure,value,status,kind
Group A,2021,balance,5,observed,detail
Group A,2021,closures,2,observed,detail
Group A,2021,openings,7,observed,detail
Group A,2022,balance,6,observed,detail
Group A,2022,closures,2,repeated,detail
Group A,2022,openings,8,observed,detail
Group A,2023,balance,6,repeated,detail
Group A,2023,closures,2,repeated,detail
Group A,2023,openings,8,repeated,detail
Group B,2021,balance,0,observed,detail
Group B,2021,closures,2,repeated,detail
Group B,2021,openings,2,observed,detail
Group B,2022,balance,-2,observed,detail
Group B,2022,closures,4,observed,detail
Group B,2022,openings,2,observed,detail
Group B,2023,balance,1,observed,detail
Group B,2023,closures,4,repeated,detail
Group B,2023,openings,5,observed,detail
Group C,2021,balance,0,observed,detail
Group C,2021,closures,0,observed,detail
Group C,2021,openings,0,observed,detail
Group C,2022,balance,0,repeated,detail
Group C,2022,closures,0,repeated,detail
Group C,2022,openings,0,repeated,detail
Group C,2023,balance,0,repeated,detail
Group C,2023,closures,0,repeated,detail
Group C,2023,openings,0,repeated,detail
