scope,group,year,measure,known_sum,component_count,unavailable_count,declared_total,residual,status
group,Group A,,balance,17,3,0,17,0,pass
group,Group A,,closures,6,3,0,6,0,pass
group,Group A,,openings,23,3,0,23,0,pass
group,Group B,,balance,-1,3,0,-1,0,pass
group,Group B,,closures,10,3,0,10,0,pass
group,Group B,,openings,9,3,0,9,0,pass
group,Group C,,balance,0,3,0,0,0,pass
group,Group C,,closures,0,3,0,0,0,pass
group,Group C,,openings,0,3,0,0,0,pass
year,,2021,balance,5,3,0,5,0,pass
year,,2021,closures,4,3,0,4,0,pass
year,,2021,openings,9,3,0,9,0,pass
year,,2022,balance,4,3,0,4,0,pass
year,,2022,closures,6,3,0,6,0,pass
year,,2022,openings,10,3,0,10,0,pass
year,,2023,balance,7,3,0,7,0,pass
year,,2023,closures,6,3,0,6,0,pass
year,,2023,openings,13,3,0,13,0,pass
detail_to_grand,,,balance,16,9,0,16,0,pass
annual_to_grand,,,balance,16,3,0,16,0,pass
groups_to_grand,,,balance,16,3,0,16,0,pass
detail_to_grand,,,closures,16,9,0,16,0,pass
annual_to_grand,,,closures,16,3,0,16,0,pass
groups_to_grand,,,closures,16,3,0,16,0,pass
detail_to_grand,,,openings,32,9,0,32,0,pass
annual_to_grand,,,openings,32,3,0,32,0,pass
groups_to_grand,,,openings,32,3,0,32,0,pass
identity_detail,Group A,2021,balance = openings - closures,,3,0,5,0,pass
identity_detail,Group A,2022,balance = openings - closures,,3,0,6,0,pass
identity_detail,Group A,2023,balance = openings - closures,,3,0,6,0,pass
identity_group_total,Group A,,balance = openings - closures,,3,0,17,0,pass
identity_detail,Group B,2021,balance = openings - closures,,3,0,0,0,pass
identity_detail,Group B,2022,balance = openings - closures,,3,0,-2,0,pass
identity_detail,Group B,2023,balance = openings - closures,,3,0,1,0,pass
identity_group_total,Group B,,balance = openings - closures,,3,0,-1,0,pass
identity_detail,Group C,2021,balance = openings - closures,,3,0,0,0,pass
identity_detail,Group C,2022,balance = openings - closures,,3,0,0,0,pass
identity_detail,Group C,2023,balance = openings - closures,,3,0,0,0,pass
identity_group_total,Group C,,balance = openings - closures,,3,0,0,0,pass
identity_annual_total,,2021,balance = openings - closures,,3,0,5,0,pass
identity_annual_total,,2022,balance = openings - closures,,3,0,4,0,pass
identity_annual_total,,2023,balance = openings - closures,,3,0,7,0,pass
identity_grand_total,,,balance = openings - closures,,3,0,16,0,pass
